Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,Country,PostCode
2021-06-08,18.65,13.12,15.88,18.54,12.59,24.01,11.42,UA,79000
2021-06-09,18.35,13.55,15.95,18.39,9.27,23.05,13.77,UA,79000
2021-06-10,17.16,13.45,15.31,17.01,9.18,21.22,12.04,UA,79000
2021-06-11,17.42,13.4,15.41,17.5,10.58,22.16,11.58,UA,79000
2021-06-12,18.33,13.75,16.04,18.83,10.98,23.19,12.2,UA,79000
2021-06-13,14.21,11.18,12.69,14.4,4.51,16.46,11.95,UA,79000
2021-06-14,14.76,11.58,13.17,14.89,6.12,17.62,11.49,UA,79000
2021-06-15,17.47,13.2,15.33,17.91,11.78,22.79,11.01,UA,79000
2021-06-16,18.58,13.99,16.29,18.6,10.98,23.13,12.15,UA,79000
2021-06-17,19.33,14.14,16.73,19.59,13.08,24.93,11.85,UA,79000
2021-06-18,21.05,16.61,18.83,21.15,11.8,26.4,14.62,UA,79000
2021-06-19,21.08,17.51,19.3,21.23,10.03,25.91,15.88,UA,79000
2021-06-20,20.24,17.27,18.76,20.06,8.85,24.19,15.34,UA,79000
2021-06-21,21.73,18.08,19.9,22.17,10.74,26.7,15.96,UA,79000
2021-06-22,23.34,19.21,21.28,23.49,11.36,28.49,17.13,UA,79000
2021-06-23,24.9,19.99,22.44,24.45,9.77,29.01,19.23,UA,79000
2021-06-24,25.87,20.07,22.97,25.33,10.16,31.31,21.15,UA,79000
2021-06-25,24.87,21.27,23.07,24.75,8.83,29.67,20.84,UA,79000
2021-06-26,20.46,18.1,19.28,20.61,7.04,23.99,16.95,UA,79000
2021-06-27,19.74,15.36,17.55,20.08,9.25,24.02,14.77,UA,79000
2021-06-28,20.19,13.68,16.94,19.81,10.12,24.4,14.29,UA,79000
2021-06-29,21.54,14.3,17.92,21.63,12.31,26.62,14.32,UA,79000
2021-06-30,23.26,19.01,21.14,22.96,10.02,28.48,18.45,UA,79000
2021-07-01,20.74,17.9,19.32,21.1,7.75,24.65,16.9,UA,79000
2021-07-02,19.24,15.57,17.4,19.62,7.47,22.47,15.0,UA,79000
2021-07-03,17.87,15.9,16.88,18.01,5.64,20.92,15.28,UA,79000
2021-07-04,19.43,17.16,18.3,19.59,7.49,23.09,15.6,UA,79000
2021-07-05,21.05,16.9,18.98,21.3,9.54,25.19,15.65,UA,79000
2021-07-06,22.49,17.06,19.77,22.6,11.25,27.22,15.97,UA,79000
2021-07-07,23.65,18.57,21.11,23.59,11.05,28.75,17.7,UA,79000
2021-07-08,23.4,19.43,21.41,23.68,9.84,27.95,18.12,UA,79000
2021-07-09,24.39,20.05,22.22,24.55,11.02,29.66,18.64,UA,79000
2021-07-10,22.68,19.15,20.91,23.27,8.8,26.86,18.05,UA,79000
2021-07-11,23.27,18.42,20.85,23.53,10.39,28.26,17.88,UA,79000
2021-07-12,23.52,18.16,20.84,23.37,11.24,28.65,17.4,UA,79000
2021-07-13,23.98,18.91,21.45,23.99,12.34,29.63,17.29,UA,79000
2021-07-14,26.02,20.33,23.18,26.01,11.38,31.65,20.27,UA,79000
2021-07-15,26.14,20.48,23.31,26.18,10.45,30.92,20.47,UA,79000
2021-07-16,24.26,19.72,21.99,24.21,8.02,27.76,19.73,UA,79000
2021-07-17,24.83,18.65,21.74,24.48,10.12,29.92,19.8,UA,79000
2021-07-18,24.96,20.48,22.72,25.18,8.95,29.41,20.47,UA,79000
2021-07-19,20.37,19.14,19.76,20.21,3.76,21.76,17.99,UA,79000
2021-07-20,17.4,15.31,16.35,17.12,3.23,18.9,15.68,UA,79000
